# equipment,fully equipped gym,# fitness_goal,muscle building,# workout_type,split,# gender,both,# training_level,intermediate,# days_per_week,4
filename,title,url
workouts__21-compound-exercises-only-workout.html__12effcd9e0.html,Compound Exercises Only Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/21-compound-exercises-only-workout.html
workouts__4-day-bodybuilding-split-by-shaun.html__8339fbb352.html,4 Day Bodybuilding Split by Shaun | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-bodybuilding-split-by-shaun.html
workouts__4-day-maximum-mass-workout__1190206d23.html,4 Day Maximum Mass Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-maximum-mass-workout
workouts__4-day-power-muscle-burn-workout-split.html__e146c51e59.html,4 Day Power Muscle Burn Workout Split | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-power-muscle-burn-workout-split.html
workouts__4-day-ppl-and-v-taper-intensifier-workout__f35f34da4c.html,4 Day Muscle Building Workout: PPL Split w/ V Taper Intensifier,https://www.muscleandstrength.com/workouts/4-day-ppl-and-v-taper-intensifier-workout
workouts__4-day-rp21-rest-pause-workout-system__18ded82e4f.html,4 Day Rest Pause RP-21 Muscle Building Workout System | Muscle & Strength,https://www.muscleandstrength.com/workouts/4-day-rp21-rest-pause-workout-system
workouts__4-day-workout-build-serious-mass__3a7e424e9e.html,4 Day Workout Program to Build Serious Mass,https://www.muscleandstrength.com/workouts/4-day-workout-build-serious-mass
workouts__6-week-workout-program-to-build-lean-muscle__e788f04bcd.html,6 Week Workout Program to Build Lean Muscle,https://www.muscleandstrength.com/workouts/6-week-workout-program-to-build-lean-muscle
workouts__8-week-hypertrophy-workout__2b75088809.html,8 Week Mass Building Hypertrophy Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/8-week-hypertrophy-workout
workouts__8-x-8-workout-lean-muscle__29280451d7.html,8x8 Workout: Lean Muscle Gainz Workout,https://www.muscleandstrength.com/workouts/8-x-8-workout-lean-muscle
workouts__animal-instincts-kurt-weidner-4-day-split-workout.html__5b01b8dad3.html,Animal Instincts - The Kurt Weidner 4 Day Split Workout | Muscle & Strength,https://www.muscleandstrength.com/workouts/animal-instincts-kurt-weidner-4-day-split-workout.html
